,timestamp,open,high,low,close,volume,symbol
81,2023-08-31,80.6,80.65,79.26,79.27,1071051,AEE
82,2023-08-30,80.51,81.0,79.97,80.4,735175,AEE
83,2023-08-29,80.58,80.97,80.3,80.54,1328013,AEE
84,2023-08-28,80.61,81.08,80.155,80.32,1098998,AEE
85,2023-08-25,80.31,80.97,80.12,80.45,1054420,AEE
86,2023-08-24,79.99,81.28,79.82,79.98,1449372,AEE
87,2023-08-23,80.55,80.59,79.67,80.32,1063108,AEE
88,2023-08-22,79.89,80.47,79.77,80.3,1126540,AEE
89,2023-08-21,80.35,80.62,79.3675,80.07,1373241,AEE
90,2023-08-18,79.33,80.75,79.29,80.57,1665104,AEE
91,2023-08-17,79.39,80.45,79.17,79.19,1143058,AEE
92,2023-08-16,79.29,79.845,78.92,79.53,1177606,AEE
93,2023-08-15,79.47,79.56,78.72,78.76,1522900,AEE
94,2023-08-14,80.95,80.95,79.72,79.97,1127647,AEE
95,2023-08-11,80.55,81.09,80.15,80.91,1034815,AEE
96,2023-08-10,81.22,81.66,80.28,80.47,825331,AEE
97,2023-08-09,81.05,81.93,80.73,81.01,958416,AEE
98,2023-08-08,81.25,81.41,80.225,81.35,1212140,AEE
99,2023-08-07,81.67,81.94,81.15,81.21,1228591,AEE
